classification_id,domain_id,research_item_id,source_artifact,source_path,source_class,license_position,observed_fact,inferred_semantic,proprietary_detail_identified,target_design_candidate,independent_rationale,transfer_allowed,quarantine_reason,owner,evidence_location,reviewer,independent_verifier,verification_status,gate_impact,notes
CR-001,SOURCE,DR-SRC-HIST-001,Module_Inventory.csv,03_Source_Code/Module_Inventory.csv,HISTORICAL_EVIDENCE,MIXED,Historical package contains 1436 module records,Reference system has broad modular capability coverage,Module packaging and dependency graph,No direct target candidate,Target domains must be regrouped by business capability,NO,Source structure is not target architecture,Source Research Lead,Historical Phase B package,Clean-Room Review Function,ChatGPT L99,PASS,SUPPORTS_CONTROLLED_LEARNING,Observed fact only
CR-002,SOURCE,DR-SRC-CURRENT-001,Current source manifest,Current Session,WORKING_CLAIM,UNVERIFIED,Current Session states 1502 records and A/B/C/D counts,Current baseline may include extra or changed records,Current archive contents and row-level classification,No target candidate until verified,No independent rationale can replace missing evidence,NO,Current evidence identity unavailable,Source Evidence Owner,Current conversation uploads,Clean-Room Review Function,UNASSIGNED,HOLD,BLOCKS_ALL_MODULE_CERTIFICATION,Working claim retained without conversion to fact
CR-003,FINANCE,DR-BR-HIST-001,Business_Rule_Method_Inventory.csv,08_Technical/,REFERENCE_OBSERVATION,MIXED,Method-name evidence shows posting payments refunds lock dates tax checks assets reports and revaluation surfaces,Finance requires distinct posting settlement tax asset and reporting semantics,Method bodies decorators ORM classes and framework flows,Vendor-neutral finance bounded contexts and invariants,Generic accounting principles and project requirements independently support the design,YES_WITH_CONTROL,,Enterprise Functional Architect,Historical Phase B package,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,REVIEW_BASELINE_ONLY,No source code transferred
CR-004,FINANCE,DR-SEM-GL-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,Every posted journal must balance and be immutable,No proprietary detail,JournalEntry aggregate and Posting Service,Double-entry accounting is a general mathematical/accounting principle,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,DOMAIN_OWNER_REVIEW_REQUIRED,Independent formula and lifecycle
CR-005,INVENTORY,DR-SEM-INV-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,Inventory must conserve quantity across linked source and destination events,No proprietary detail,QuantityEvent ledger StockTransfer and Reservation aggregates,Conservation of quantity and warehouse transfer semantics are generic domain principles,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,DOMAIN_OWNER_REVIEW_REQUIRED,Not a translation of stock ORM
CR-006,COSTING,DR-SEM-COST-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,FIFO AVCO standard cost and landed-cost formulas are specified vendor-neutrally,No proprietary detail,CostLayer ValuationEvent and CostingPolicy,Formulas are general cost-accounting methods and independently expressed,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,ACCOUNTING_OWNER_REVIEW_REQUIRED,Negative-stock and backdating policies remain controls
CR-007,MANUFACTURING,DR-SEM-MRP-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,BOM explosion yield scrap WIP and production cost models are defined,No proprietary detail,ProductionOrder BillOfMaterial WorkOperation and WIP controls,General manufacturing planning and cost principles independently support the design,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,MRP_OWNER_REVIEW_REQUIRED,No source routing/workorder engine copied
CR-008,ARCHITECTURE,DR-SEM-DDD-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,Node.js TypeScript clean architecture package structure is proposed,No proprietary detail,Bounded contexts domain application infrastructure and interface layers,Design follows general Clean Architecture and DDD principles,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,ARCHITECTURE_GATE_REVIEW_REQUIRED,Framework remains an adapter
CR-009,API,DR-SEM-API-001,Independent design,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,TARGET_DESIGN,NOT_APPLICABLE,None,REST commands require tenant context idempotency and concurrency control,No proprietary detail,Journal posting stock completion and production completion APIs,API controls derive from general distributed-system reliability requirements,YES,,Enterprise Functional Architect,Current GitHub branch,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,API_REVIEW_REQUIRED,Not source controller translation
CR-010,MAPPING,DR-MAP-HIST-001,Field_Level_Source_to_Dump_Mapping.csv,05_Mapping/,REFERENCE_OBSERVATION,MIXED,Historical register contains matched missing and relation/non-stored outcomes,Unmatched rows require semantic classification before migration decisions,Legacy table and field naming,Normalized mapping status taxonomy,Taxonomy is independently defined to distinguish business evidence outcomes,YES_WITH_CONTROL,,Mapping Lead,Historical mapping pack,Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,CURRENT_MAPPING_HOLD,Row-level current evidence still required
